nameWithOwner,url,createdAt,updatedAt,stargazers,pullRequests,acceptedPullRequests,releases,primaryLanguage,totalIssues,closedIssues
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24,2022-02-20,340885,28842,16678,0,JavaScript,15800,15667
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26,2022-01-25,260961,1923,1063,0,,0,0
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11,2022-02-15,222196,5914,4304,0,,692,665
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06,2022-02-16,209805,712,281,0,,321,285
vuejs/vue,https://github.com/vuejs/vue,2013-07-29,2022-02-07,193200,2151,1069,210,JavaScript,9688,9362
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11,2022-02-19,190064,1752,567,0,,297,276
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15,2022-02-20,186681,383,212,0,TypeScript,579,483
facebook/react,https://github.com/facebook/react,2013-05-24,2022-02-19,182708,11870,8096,96,JavaScript,11163,10436
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20,2022-02-18,181149,2647,1848,0,Python,356,352
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26,2022-02-13,163155,401,190,0,Python,206,62
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07,2022-02-20,163012,20005,14170,158,C++,34069,31719
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29,2022-02-19,155546,13300,7412,76,JavaScript,21083,20755
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16,2022-02-17,149820,852,351,0,,887,806
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13,2022-02-05,146399,577,375,0,,535,434
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28,2022-02-18,140969,6355,2643,0,Shell,4086,3910
flutter/flutter,https://github.com/flutter/flutter,2015-03-06,2022-02-19,136696,33188,23661,0,Dart,65160,54949
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24,2022-02-04,135561,559,266,0,JavaScript,277,185
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,2018-05-09,2022-02-16,130933,212,86,0,,465,321
github/gitignore,https://github.com/github/gitignore,2010-11-08,2022-02-16,129768,3911,1520,0,,0,0
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16,2022-02-13,129549,4972,1811,0,Python,931,905
